total_electricity_kw,fans_kw,cooling_kw,heating_kw,lights_kw,equipment_kw,total_gas_kw,Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),datetime
1521.43519959,103.950526065,512.346306179,0,243.2593065,302.612436532,481.530885153,389.426027614,56.6466996096,35.4581579293,2022-12-26 16:00:00
1535.44308842,104.197490476,522.349608977,0,243.2593065,310.10971186,492.639409176,381.205218039,84.9700494144,26.4641417228,2022-12-26 17:00:00
1555.07371421,104.250590617,548.22004311,0,243.2593065,310.10971186,514.83993286,403.973162298,84.9700494144,25.8967211485,2022-12-26 18:00:00
1266.73250692,101.247039609,550.413781286,0,166.938926447,199.110933808,476.129386971,382.113196011,84.9700494144,9.04614154533,2022-12-26 19:00:00
1253.48567219,101.247039609,545.578372878,0,166.938926447,191.61365848,462.332778532,388.256333829,56.6466996096,17.4297450929,2022-12-26 20:00:00
1129.18255386,101.247039609,539.820851769,0,100.150657288,124.558693486,504.323411445,430.246411282,56.6466996096,17.4303005525,2022-12-26 21:00:00
1076.45847204,101.247039609,531.361907609,0,100.150657288,124.558693486,490.303458491,439.113322955,42.4850247072,8.70511082867,2022-12-26 22:00:00
961.993704587,101.247039609,484.44790324,0,46.0930336215,124.558693486,505.796935692,460.085992255,28.3233498048,17.3875936321,2022-12-26 23:00:00
929.326575781,101.247039609,464.697997313,0,46.0930336215,124.558693486,498.317780947,466.769002427,14.1616749024,17.3871036175,2022-12-27 00:00:00
905.530380776,101.247039609,442.613423068,0,46.0930336215,113.312780494,509.390325158,486.337195908,5.66466996096,17.3884592895,2022-12-27 01:00:00
906.152415827,101.247039609,435.718058546,0,46.0930336215,113.312780494,510.396952039,496.02940426,5.66466996096,8.70287781816,2022-12-27 02:00:00
908.243043024,101.247039609,438.065501597,0,46.0930336215,113.312780494,525.686117154,502.634984746,5.66466996096,17.3864624471,2022-12-27 03:00:00
897.197500574,101.247039609,429.18930334,0,46.0930336215,113.312780494,525.512303475,511.143252213,5.66466996096,8.70438130151,2022-12-27 04:00:00
968.55275207,101.247039609,413.86176202,0,100.150657288,148.969399434,522.220248658,499.169769488,5.66466996096,17.3858092089,2022-12-27 05:00:00
960.892911423,101.26849124,408.28974384,0,100.150657288,149.894399434,831.314753873,808.44904979,14.1616749024,8.70402918027,2022-12-27 06:00:00
1175.01821983,102.016114064,399.903347598,0,176.471037341,302.612436532,635.719122225,590.010299961,28.3233498048,17.3854724596,2022-12-27 07:00:00
1286.62794691,102.25788342,394.421461226,0,243.2593065,310.10971186,616.607798448,556.586171148,42.4850247072,17.5366025936,2022-12-27 08:00:00
1348.74795659,102.476678157,419.266099029,0,243.2593065,310.10971186,607.652965932,524.595671783,56.6466996096,26.4105945394,2022-12-27 09:00:00
1420.46291147,102.91783746,458.652445674,0,243.2593065,302.612436532,580.657848204,504.738826522,42.4850247072,33.4339969749,2022-12-27 10:00:00
1484.02615515,103.678450517,511.498050572,0,243.2593065,310.10971186,582.879873669,475.409846986,70.808374512,36.6616521707,2022-12-27 11:00:00
1510.78584243,104.452833305,532.373115934,0,243.2593065,310.10971186,559.311192393,452.187204098,70.808374512,36.3156137834,2022-12-27 12:00:00
1487.86046665,105.123612254,543.880332217,0,243.2593065,310.10971186,530.16529557,432.798127559,70.808374512,26.5587934992,2022-12-27 13:00:00
1527.38727571,105.640541047,544.272802695,0,243.2593065,302.612436532,512.353192258,411.227100547,56.6466996096,44.4793921019,2022-12-27 14:00:00
1521.78410767,105.85381911,542.310925342,0,243.2593065,302.612436532,479.59632768,401.608098921,42.4850247072,35.503204052,2022-12-27 15:00:00
1526.29071774,107.140524941,538.116432767,0,243.2593065,302.612436532,452.530802698,369.285656012,56.6466996096,26.5984470763,2022-12-27 16:00:00
1534.18654944,107.912566479,537.892117901,0,243.2593065,310.10971186,478.947017186,358.692717521,84.9700494144,35.2842502513,2022-12-27 17:00:00
1546.04108684,108.027505281,553.544665437,0,243.2593065,310.10971186,482.195939536,379.74086764,84.9700494144,17.4850224822,2022-12-27 18:00:00
1267.69419172,101.247039609,553.994909513,0,166.938926447,199.110933808,478.204239107,375.803079625,84.9700494144,17.4311100676,2022-12-27 19:00:00
1245.6482269,101.247039609,551.213132411,0,166.938926447,191.61365848,446.603478696,381.230181569,56.6466996096,8.72659751682,2022-12-27 20:00:00
1111.02642467,101.247039609,549.30191556,0,100.150657288,124.558693486,496.169003322,422.091305078,56.6466996096,17.4309986344,2022-12-27 21:00:00
